"","x"
"1",-0.112541389511134
"2",-0.0798593860624278
"3",-0.0987101357119066
"4",-0.06191218716329
"5",-0.0540411565099968
"6",-0.0326958568414039
"7",-0.169669450459285
"8",-0.0966108881694148
"9",-0.0367951414766153
"10",-0.147167569452002
"11",-0.200041828167888
"12",-0.0612296605389245
"13",-0.0716218191397661
"14",-0.0506668292174607
"15",0.00716812171225897
"16",-0.0699475748299716
"17",-0.042525648375456
"18",-0.0724156484114458
"19",-0.0658159594234938
"20",-0.102897561552004
"21",-0.0776744169643468
"22",-0.0156948838208544
"23",-0.0345300529017708
"24",-0.161972722623952
"25",0.00250273319376194
"26",-0.31898282350772
"27",-0.104065079670192
"28",-0.0391035526572399
"29",-0.134160445741015
"30",-0.060588361729282
"31",-0.0431994171512275
"32",-0.0805099032788753
"33",-0.0774057647474742
"34",-0.013224471319447
"35",-0.0900184624802339
"36",-0.107039593846099
"37",-0.137340898818207
"38",-0.0736329381185004
"39",-0.0529302016859689
"40",-0.0574763318938324
"41",-0.111704074831836
"42",-0.153038083429892
"43",-0.0629069772957019
"44",-0.102303065187484
"45",-0.169157091336784
"46",-0.108188046533039
"47",-0.100380965179273
"48",-0.0542827154501783
"49",-0.1305327448665
"50",-0.0302351427218768
"51",-0.175491810346866
"52",-0.123391406393563
"53",-0.0656219345469551
"54",-0.042152869558845
"55",-0.0405576212993865
"56",-0.106257298207785
"57",-0.00402505701009115
"58",-0.082204527723695
"59",-0.0917404902778133
"60",-0.0385515165166856
"61",-0.0561027978780711
"62",-0.0433166257491292
"63",-0.0475975454450136
"64",-0.0453796232385291
"65",-0.0189473313517757
"66",-0.114138682090166
"67",-0.0428626383127232
"68",-0.163877426298762
"69",-0.0639954825545723
"70",-0.144237849240563
"71",-0.102432801606039
"72",-0.0250532341350634
"73",-0.135796431651968
"74",-0.125351355439075
"75",-0.160624453490782
"76",-0.0731235208844998
"77",-0.161416486351489
"78",0.0240417352789368
"79",-0.0582858538290085
"80",-0.153597734004656
"81",-0.136400926992629
"82",-0.129598142786099
"83",-0.0565642243564704
"84",-0.063137411487681
"85",-0.085413429015915
"86",-0.078754897893788
"87",-0.0356392271319486
"88",-0.100452456695824
"89",-0.0573584887166058
"90",-0.0914012594486677
"91",-0.102817070527833
"92",-0.079964279617382
"93",-0.000671375154143942
"94",-0.00743579773279224
"95",-0.0571041680983469
"96",-0.150175187287718
"97",-0.0758154387956797
"98",-0.0520968491696569
"99",-0.108092816166774
"100",-0.0859376298479415
"101",-0.0797350784897119
"102",-0.16120251593707
"103",-0.105174545036375
"104",-0.124069569539782
"105",-0.207814745851392
"106",-0.0922208864838124
"107",-0.0888785158636746
"108",-0.0538187149626633
"109",0.047249796908789
"110",-0.193116089676184
"111",-0.0684092646154749
"112",-0.0946731030908478
"113",0.0171656895944273
"114",-0.102579956469937
"115",-0.100271952038298
"116",-0.122625076538991
"117",-0.0492778807931092
"118",-0.147137495942629
"119",-0.0970775379236919
"120",-0.0766564383374044
"121",-0.0476892251220036
"122",-0.0827944324042015
"123",-0.0690050160691818
"124",-0.073042402201918
"125",-0.1610323491546
"126",-0.0751785896686043
"127",-0.00463210000689754
"128",-0.0588785789011071
"129",-0.112337885191562
"130",-0.151504811978705
"131",-0.173504419847899
"132",-0.00125566461277351
"133",0.0500701340355653
"134",-0.0900621076045079
"135",-0.17304247719852
"136",-0.0611151869252695
"137",-0.168082630172319
"138",-0.148866303925127
"139",-0.0791950084743935
"140",-0.149440721292134
"141",-0.0403396559604302
"142",-0.111290682297671
"143",-0.0865324699440543
"144",-0.116995446272399
"145",-0.146957253312165
"146",-0.121428568919887
"147",-0.0553164938916425
"148",-0.0819351749861122
"149",-0.150859519711377
"150",-0.0618012123086071
"151",-0.0183478793168019
"152",-0.100237771540624
"153",-0.0457420393750321
"154",-0.0658993961145594
"155",-0.171146381870726
"156",-0.082378262900512
"157",-0.0247310618454369
"158",-0.11373696503796
"159",-0.0814847273471496
"160",-0.0667280877613637
"161",-0.0261638367691275
"162",-0.0953632064527792
"163",-0.103498199049484
"164",-0.221408704537778
"165",-0.113049372405712
"166",-0.132862692693931
